Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
SRI,STONERIDGE INC,Consumer Discretionary,Equity,"10,610,934.96",0.02,"10,610,934.96","645,434.00",16.44,United States,New York Stock Exchange Inc.,USD,1.00,--
AMAL,AMALGAMATED FINANCIAL,Financials,Equity,"10,600,175.08",0.02,"10,600,175.08","512,581.00",20.68,United States,NASDAQ,USD,1.00,--
MLR,MILLER INDUSTRIES INC,Industrials,Equity,"10,601,676.80",0.02,"10,601,676.80","266,240.00",39.82,United States,New York Stock Exchange Inc.,USD,1.00,--
MCB,METROPOLITAN BANK HOLDING CORP,Financials,Equity,"10,494,281.52",0.02,"10,494,281.52","283,476.00",37.02,United States,New York Stock Exchange Inc.,USD,1.00,--
EGLE,EAGLE BULK SHIPPING INC,Industrials,Equity,"10,492,989.81",0.02,"10,492,989.81","244,763.00",42.87,United States,New York Stock Exchange Inc.,USD,1.00,--
MVIS,MICROVISION INC,Information Technology,Equity,"10,467,684.27",0.02,"10,467,684.27","4,307,689.00",2.43,United States,NASDAQ,USD,1.00,--
UFCS,UNITED FIRE GROUP INC,Financials,Equity,"10,460,357.60",0.02,"10,460,357.60","505,820.00",20.68,United States,NASDAQ,USD,1.00,--
REPL,REPLIMUNE GROUP INC,Health Care,Equity,"10,451,789.67",0.02,"10,451,789.67","1,015,723.00",10.29,United States,NASDAQ,USD,1.00,--
BHB,BAR HARBOR BANKSHARES,Financials,Equity,"10,420,140.64",0.02,"10,420,140.64","395,902.00",26.32,United States,Nyse Mkt Llc,USD,1.00,--
EQBK,EQUITY BANCSHARES INC CLASS A,Financials,Equity,"10,384,929.14",0.02,"10,384,929.14","395,918.00",26.23,United States,New York Stock Exchange Inc.,USD,1.00,--
CRBU,CARIBOU BIOSCIENCES INC,Health Care,Equity,"10,361,802.95",0.02,"10,361,802.95","1,821,055.00",5.69,United States,NASDAQ,USD,1.00,--
ALX,ALEXANDERS REIT INC,Real Estate,Equity,"10,362,558.08",0.02,"10,362,558.08","56,032.00",184.94,United States,New York Stock Exchange Inc.,USD,1.00,--
BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,Equity,"10,360,980.54",0.02,"10,360,980.54","629,082.00",16.47,Canada,New York Stock Exchange Inc.,USD,1.00,--
AVO,MISSION PRODUCE INC,Consumer Staples,Equity,"10,322,970.21",0.02,"10,322,970.21","1,161,189.00",8.89,United States,NASDAQ,USD,1.00,--
CVGW,CALAVO GROWERS INC,Consumer Staples,Equity,"10,327,295.52",0.02,"10,327,295.52","429,588.00",24.04,United States,NASDAQ,USD,1.00,--
RBCAA,REPUBLIC BANCORP INC CLASS A,Financials,Equity,"10,246,034.40",0.02,"10,246,034.40","217,077.00",47.20,United States,NASDAQ,USD,1.00,--
SGHC,SUPER GROUP LTD,Consumer Discretionary,Equity,"10,241,566.10",0.02,"10,241,566.10","3,303,731.00",3.10,Guernsey,New York Stock Exchange Inc.,USD,1.00,--
TVTX,TRAVERE THERAPEUTICS INC,Health Care,Equity,"10,210,766.28",0.02,"10,210,766.28","1,785,099.00",5.72,United States,NASDAQ,USD,1.00,--
OSPN,ONESPAN INC,Information Technology,Equity,"10,203,278.28",0.02,"10,203,278.28","1,017,276.00",10.03,United States,NASDAQ,USD,1.00,--
FSR,FISKER INC CLASS A,Consumer Discretionary,Equity,"10,180,322.68",0.02,"10,180,322.68","4,802,039.00",2.12,United States,New York Stock Exchange Inc.,USD,1.00,--
PL,PLANET LABS CLASS A,Industrials,Equity,"10,174,708.80",0.02,"10,174,708.80","4,239,462.00",2.40,United States,New York Stock Exchange Inc.,USD,1.00,--
BLUE,BLUEBIRD BIO INC,Health Care,Equity,"10,139,693.99",0.02,"10,139,693.99","2,675,381.00",3.79,United States,NASDAQ,USD,1.00,--
STGW,STAGWELL INC CLASS A,Communication,Equity,"10,137,818.79",0.02,"10,137,818.79","1,976,183.00",5.13,United States,NASDAQ,USD,1.00,--
TARS,TARSUS PHARMACEUTICALS INC,Health Care,Equity,"10,098,492.60",0.02,"10,098,492.60","575,085.00",17.56,United States,NASDAQ,USD,1.00,--
CENX,CENTURY ALUMINUM,Materials,Equity,"10,095,084.30",0.02,"10,095,084.30","1,285,998.00",7.85,United States,NASDAQ,USD,1.00,--
OABI,OMNIAB INC,Health Care,Equity,"10,085,644.80",0.02,"10,085,644.80","2,292,192.00",4.40,United States,NASDAQ,USD,1.00,--
NRDS,NERDWALLET INC CLASS A,Financials,Equity,"10,087,224.90",0.02,"10,087,224.90","908,759.00",11.10,United States,NASDAQ,USD,1.00,--
RAPT,RAPT THERAPEUTICS INC,Health Care,Equity,"10,079,304.20",0.02,"10,079,304.20","737,870.00",13.66,United States,NASDAQ,USD,1.00,--
SHYF,SHYFT GROUP INC,Industrials,Equity,"10,072,040.67",0.02,"10,072,040.67","900,093.00",11.19,United States,NASDAQ,USD,1.00,--
FFIC,FLUSHING FINANCIAL CORP,Financials,Equity,"10,057,824.45",0.02,"10,057,824.45","720,991.00",13.95,United States,NASDAQ,USD,1.00,--
METCV,RAMACO RESOURCES INC CLASS A,Materials,Equity,"10,038,798.18",0.02,"10,038,798.18","573,318.00",17.51,United States,NASDAQ,USD,1.00,--
MCBS,METROCITY BANKSHARES INC,Financials,Equity,"10,016,320.50",0.02,"10,016,320.50","477,650.00",20.97,United States,NASDAQ,USD,1.00,--
STER,STERLING CHECK CORP,Industrials,Equity,"9,935,077.58",0.02,"9,935,077.58","780,446.00",12.73,United States,NASDAQ,USD,1.00,--
ATRO,ASTRONICS CORP,Industrials,Equity,"9,935,199.18",0.02,"9,935,199.18","645,562.00",15.39,United States,NASDAQ,USD,1.00,--
DJCO,DAILY JOURNAL CORP,Communication,Equity,"9,939,397.65",0.02,"9,939,397.65","30,595.00",324.87,United States,NASDAQ,USD,1.00,--
NFBK,NORTHFIELD BANCORP INC,Financials,Equity,"9,882,938.40",0.02,"9,882,938.40","1,003,344.00",9.85,United States,NASDAQ,USD,1.00,--
CTLP,CANTALOUPE INC,Financials,Equity,"9,849,166.14",0.02,"9,849,166.14","1,467,834.00",6.71,United States,NASDAQ,USD,1.00,--
SMBC,SOUTHERN MISSOURI BANCORP INC,Financials,Equity,"9,824,794.31",0.02,"9,824,794.31","221,329.00",44.39,United States,NASDAQ,USD,1.00,--
OFIX,ORTHOFIX MEDICAL INC,Health Care,Equity,"9,825,545.95",0.02,"9,825,545.95","867,215.00",11.33,United States,NASDAQ,USD,1.00,--
ATRI,ATRION CORP,Health Care,Equity,"9,823,047.50",0.02,"9,823,047.50","33,250.00",295.43,United States,NASDAQ,USD,1.00,--
SANA,SANA BIOTECHNOLOGY INC,Health Care,Equity,"9,801,991.75",0.02,"9,801,991.75","2,306,351.00",4.25,United States,NASDAQ,USD,1.00,--
RUSHB,RUSH ENTERPRISES INC CLASS B,Industrials,Equity,"9,804,319.20",0.02,"9,804,319.20","226,480.00",43.29,United States,NASDAQ,USD,1.00,--
ATEX,ANTERIX INC,Communication,Equity,"9,755,307.80",0.02,"9,755,307.80","313,172.00",31.15,United States,NASDAQ,USD,1.00,--
LUNG,PULMONX CORP,Health Care,Equity,"9,747,855.40",0.02,"9,747,855.40","919,609.00",10.60,United States,NASDAQ,USD,1.00,--
AROW,ARROW FINANCIAL CORP,Financials,Equity,"9,713,410.25",0.02,"9,713,410.25","400,553.00",24.25,United States,NASDAQ,USD,1.00,--
CTO,CTO REALTY GROWTH INC,Real Estate,Equity,"9,682,064.10",0.02,"9,682,064.10","582,555.00",16.62,United States,New York Stock Exchange Inc.,USD,1.00,--
GCO,GENESCO INC,Consumer Discretionary,Equity,"9,683,361.18",0.02,"9,683,361.18","310,066.00",31.23,United States,New York Stock Exchange Inc.,USD,1.00,--
TRTX,TPG RE FINANCE TRUST INC,Financials,Equity,"9,661,023.71",0.02,"9,661,023.71","1,728,269.00",5.59,United States,New York Stock Exchange Inc.,USD,1.00,--
SPWR,SUNPOWER CORP,Industrials,Equity,"9,639,759.69",0.02,"9,639,759.69","2,278,903.00",4.23,United States,NASDAQ,USD,1.00,--
SLGC,SOMALOGIC INC CLASS A,Health Care,Equity,"9,628,701.74",0.02,"9,628,701.74","3,675,077.00",2.62,United States,NASDAQ,USD,1.00,--
CPF,CENTRAL PACIFIC FINANCIAL CORP,Financials,Equity,"9,616,501.26",0.02,"9,616,501.26","550,458.00",17.47,United States,New York Stock Exchange Inc.,USD,1.00,--
NTGR,NETGEAR INC,Information Technology,Equity,"9,610,389.36",0.02,"9,610,389.36","746,728.00",12.87,United States,NASDAQ,USD,1.00,--
TTEC,TTEC HOLDINGS INC,Industrials,Equity,"9,610,827.56",0.02,"9,610,827.56","520,348.00",18.47,United States,NASDAQ,USD,1.00,--
NPK,NATIONAL PRESTO INDUSTRIES INC,Industrials,Equity,"9,606,042.90",0.02,"9,606,042.90","123,885.00",77.54,United States,New York Stock Exchange Inc.,USD,1.00,--
PNTG,PENNANT GROUP INC,Health Care,Equity,"9,591,725.00",0.02,"9,591,725.00","697,580.00",13.75,United States,NASDAQ,USD,1.00,--
TPB,TURNING POINT BRANDS INC,Consumer Staples,Equity,"9,580,313.60",0.02,"9,580,313.60","418,720.00",22.88,United States,New York Stock Exchange Inc.,USD,1.00,--
BYND,BEYOND MEAT INC,Consumer Staples,Equity,"9,567,571.20",0.02,"9,567,571.20","1,449,632.00",6.60,United States,NASDAQ,USD,1.00,--
TMCI,TREACE MEDICAL CONCEPTS INC,Health Care,Equity,"9,547,325.85",0.02,"9,547,325.85","1,106,295.00",8.63,United States,NASDAQ,USD,1.00,--
EOLS,EVOLUS INC,Health Care,Equity,"9,522,745.20",0.02,"9,522,745.20","1,013,058.00",9.40,United States,NASDAQ,USD,1.00,--
MCS,THE MARCUS CORP,Communication,Equity,"9,508,679.01",0.02,"9,508,679.01","654,417.00",14.53,United States,New York Stock Exchange Inc.,USD,1.00,--
FWRG,FIRST WATCH RESTAURANT GROUP INC,Consumer Discretionary,Equity,"9,474,466.44",0.02,"9,474,466.44","533,172.00",17.77,United States,NASDAQ,USD,1.00,--
ASLE,AERSALE CORP,Industrials,Equity,"9,471,487.98",0.02,"9,471,487.98","655,013.00",14.46,United States,NASDAQ,USD,1.00,--
RMR,RMR GROUP INC CLASS A,Real Estate,Equity,"9,451,446.00",0.02,"9,451,446.00","400,485.00",23.60,United States,NASDAQ,USD,1.00,--
COMM,COMMSCOPE HOLDING INC,Information Technology,Equity,"9,444,281.45",0.02,"9,444,281.45","5,105,017.00",1.85,United States,NASDAQ,USD,1.00,--
MXCT,MAXCYTE INC,Health Care,Equity,"9,428,193.00",0.02,"9,428,193.00","2,095,154.00",4.50,United States,NASDAQ,USD,1.00,--
DH,DEFINITIVE HEALTHCARE CORP CLASS A,Health Care,Equity,"9,429,263.76",0.02,"9,429,263.76","1,172,794.00",8.04,United States,NASDAQ,USD,1.00,--
VITL,VITAL FARMS INC,Consumer Staples,Equity,"9,335,436.57",0.02,"9,335,436.57","735,653.00",12.69,United States,NASDAQ,USD,1.00,--
ENFN,ENFUSION INC CLASS A,Information Technology,Equity,"9,321,072.12",0.02,"9,321,072.12","945,342.00",9.86,United States,New York Stock Exchange Inc.,USD,1.00,--
PSFE,PAYSAFE LTD,Financials,Equity,"9,324,433.45",0.02,"9,324,433.45","814,361.00",11.45,United States,New York Stock Exchange Inc.,USD,1.00,--
CYH,COMMUNITY HEALTH SYSTEMS INC,Health Care,Equity,"9,303,057.65",0.02,"9,303,057.65","3,175,105.00",2.93,United States,New York Stock Exchange Inc.,USD,1.00,--
WW,WW INTERNATIONAL INC,Consumer Discretionary,Equity,"9,298,833.90",0.02,"9,298,833.90","1,357,494.00",6.85,United States,NASDAQ,USD,1.00,--
CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,Equity,"9,274,064.64",0.02,"9,274,064.64","214,976.00",43.14,United States,NASDAQ,USD,1.00,--
PX,P10 INC CLASS A,Financials,Equity,"9,259,793.07",0.02,"9,259,793.07","955,603.00",9.69,United States,New York Stock Exchange Inc.,USD,1.00,--
CSTR,CAPSTAR FINANCIAL HOLDINGS INC,Financials,Equity,"9,253,298.67",0.02,"9,253,298.67","572,251.00",16.17,United States,NASDAQ,USD,1.00,--
CENT,CENTRAL GARDEN AND PET,Consumer Staples,Equity,"9,249,286.24",0.02,"9,249,286.24","233,804.00",39.56,United States,NASDAQ,USD,1.00,--
LMB,LIMBACH HOLDINGS INC,Industrials,Equity,"9,226,708.75",0.02,"9,226,708.75","229,235.00",40.25,United States,NASDAQ,USD,1.00,--
STEM,STEM INC,Industrials,Equity,"9,214,846.48",0.02,"9,214,846.48","3,464,228.00",2.66,United States,New York Stock Exchange Inc.,USD,1.00,--
ARTNA,ARTESIAN RESOURCES CORP CLASS A,Utilities,Equity,"9,180,870.76",0.02,"9,180,870.76","215,564.00",42.59,United States,NASDAQ,USD,1.00,--
FRPH,FRP HOLDINGS INC,Real Estate,Equity,"9,171,394.65",0.02,"9,171,394.65","157,179.00",58.35,United States,NASDAQ,USD,1.00,--
SHBI,SHORE BANCSHARES INC,Financials,Equity,"9,156,998.20",0.02,"9,156,998.20","766,276.00",11.95,United States,NASDAQ,USD,1.00,--
SATS,ECHOSTAR CORP CLASS A,Communication,Equity,"9,129,386.78",0.02,"9,129,386.78","862,891.00",10.58,United States,NASDAQ,USD,1.00,--
OLMA,OLEMA PHARMACEUTICALS INC,Health Care,Equity,"9,120,430.00",0.02,"9,120,430.00","663,304.00",13.75,United States,NASDAQ,USD,1.00,--
CCBG,CAPITAL CITY BANK INC,Financials,Equity,"9,124,938.80",0.02,"9,124,938.80","337,336.00",27.05,United States,NASDAQ,USD,1.00,--
MBI,MBIA INC,Financials,Equity,"9,086,506.32",0.02,"9,086,506.32","1,241,326.00",7.32,United States,New York Stock Exchange Inc.,USD,1.00,--
TWKS,THOUGHTWORKS HOLDING INC,Information Technology,Equity,"9,088,853.20",0.02,"9,088,853.20","2,318,585.00",3.92,United States,NASDAQ,USD,1.00,--
HTBI,HOMETRUST BANCSHARES INC,Financials,Equity,"9,069,805.68",0.02,"9,069,805.68","400,964.00",22.62,United States,NASDAQ,USD,1.00,--
VPG,VISHAY PRECISION GROUP INC,Information Technology,Equity,"8,973,351.92",0.02,"8,973,351.92","296,248.00",30.29,United States,New York Stock Exchange Inc.,USD,1.00,--
UTI,UNIVERSAL TECHNICAL INSTITUTE INC,Consumer Discretionary,Equity,"8,964,019.08",0.02,"8,964,019.08","764,196.00",11.73,United States,New York Stock Exchange Inc.,USD,1.00,--
KRUS,KURA SUSHI USA INC,Consumer Discretionary,Equity,"8,949,959.30",0.02,"8,949,959.30","143,314.00",62.45,United States,NASDAQ,USD,1.00,--
CLFD,CLEARFIELD INC,Information Technology,Equity,"8,743,004.82",0.02,"8,743,004.82","323,097.00",27.06,United States,NASDAQ,USD,1.00,--
SVV,SAVERS VALUE VILLAGE INC,Consumer Discretionary,Equity,"8,715,007.76",0.02,"8,715,007.76","637,528.00",13.67,United States,New York Stock Exchange Inc.,USD,1.00,--
ORC,ORCHID ISLAND CAPITAL INC,Financials,Equity,"8,701,175.35",0.02,"8,701,175.35","1,167,943.00",7.45,United States,New York Stock Exchange Inc.,USD,1.00,--
